org_code,year,release_vintage,historical_value,value_in_2025_release,difference
RTH,2023,2023,5.179225667734486,5.169847130873442,0.009378536861044395
RTK,2021,2023,5.035195830301125,5.025038759471649,0.010157070829476034
RTK,2022,2023,4.981101312560997,4.972263596812758,0.008837715748239106
RTK,2023,2023,5.127068551354031,5.119249252038455,0.007819299315576345
RTP,2021,2023,5.124292040435272,5.112275827687517,0.012016212747754551
RTP,2022,2023,4.882976847891219,4.871788673606185,0.011188174285034158
RTP,2023,2023,5.063138308325017,5.051665480347213,0.011472827977804023
RTQ,2021,2023,5.193829751480249,5.176889546519086,0.016940204961162664
RTQ,2022,2023,5.240611559913463,5.223641637887401,0.01696992202606129
RTQ,2023,2023,5.408060637072472,5.39301019492718,0.015050442145292386
RTR,2021,2023,4.836725010287057,4.828022553986291,0.008702456300765604
RTR,2022,2023,4.818815836665288,4.808987493578705,0.00982834308658287
RTR,2023,2023,4.966420376834645,4.958551960539026,0.00786841629561863
RV3,2021,2023,5.204143289163706,5.19386000308109,0.01028328608261564
RV3,2022,2023,5.117387264633958,5.106562799100852,0.010824465533105787
RV3,2023,2023,5.303316707377905,5.29132820849729,0.011988498880615595
RV5,2021,2023,5.161328400156871,5.14967658546756,0.011651814689311202
RV5,2022,2023,5.20187699839854,5.191576000408777,0.010300997989762806
RV5,2023,2023,5.214412233369153,5.202356195474345,0.01205603789480758
RV9,2021,2023,5.179344890026903,5.16609086058877,0.013254029438133585
RV9,2022,2023,5.299684896832692,5.285906412564613,0.013778484268078373
RV9,2023,2023,5.398427226373436,5.384486116024314,0.01394111034912271
RVJ,2021,2023,4.680582103809122,4.669803192454625,0.010778911354497822
RVJ,2022,2023,4.744990531274122,4.734646551498437,0.010343979775685241
RVJ,2023,2023,5.10734085989574,5.099423823950647,0.007917035945093076
RVN,2021,2023,5.154847439201236,5.13929523311933,0.015552206081905773
RVN,2022,2023,5.273020043015221,5.25942880723168,0.013591235783541045
RVN,2023,2023,5.339488637434073,5.326483484631737,0.013005152802335829
