year,state,state_name,n_complete,employed_all,n_mental_missing,finite_file_unweighted_mean,finite_file_variance,finite_file_standard_deviation,finite_file_weighted_ratio,sum_survey_weight,mean_survey_weight,kish_weight_concentration_n,minimum_survey_weight,maximum_survey_weight,observed_strata,observed_psus
2023,15,Hawaii,4100,4125,25,8.630731707317073,6.997678868398441,2.645312622054044,8.616475954059311,700267.12789376,170.7968604618927,2046.1219074783903,2.57221346,1501.18225,17,4100
2023,16,Idaho,3618,3694,76,8.506172839506172,7.522058204632985,2.742637089487595,8.441463289317998,877474.66082825,242.53030979221947,1980.4424969432123,9.99151355,2352.52141,37,3618
2023,17,Illinois,2946,2956,10,8.555668703326544,6.942231764120465,2.6348115234529517,8.5590431901549,5708557.8497949,1937.7317887966394,1650.0252389169323,72.1340949,24423.9871,19,2946
2023,18,Indiana,5440,5495,55,8.537745098039217,7.201884131103421,2.6836326371363537,8.393687315361186,3003780.753138,552.1655796209559,3542.4131068431707,31.1793896,4171.36054,41,5440
2023,19,Iowa,4895,4923,28,8.49438202247191,7.395264091489316,2.7194234851323387,8.424597550418389,1513272.75591673,309.14663042221247,2976.2103749614516,9.37945983,2559.16847,27,4895
2023,20,Kansas,5404,5477,73,8.604552183567728,7.115909041585618,2.6675661269377406,8.439765483422146,1353486.4256965,250.46010838203185,3119.281505041521,12.1461326,2702.53452,38,5404
2023,22,Louisiana,2589,2617,28,8.350585811767736,8.335224432585271,2.887078875366115,8.181558995894848,1846842.6240036,713.3420718438007,1529.6374760105884,62.5935987,7614.69859,43,2589
2023,23,Maine,5152,5236,84,8.554218426501036,7.216047594801941,2.686270201376239,8.273561295415229,616819.36118627,119.72425488863936,2597.8848250905817,3.97563949,1103.8473,63,5152
2023,24,Maryland,8440,8529,89,8.656832543443919,6.426272431673942,2.535009355342489,8.555491352826309,2826041.73032627,334.83906757420266,3439.9095367116993,6.76409769,3581.22315,18,8440
2023,25,Massachusetts,5258,5330,72,8.542918727019146,6.564459069046619,2.5621200340824433,8.50608698250858,3224975.29125199,613.3463847949772,2565.9299298531614,8.96492679,6559.02672,36,5258
2023,26,Michigan,4425,4485,60,8.450922787193974,7.45482306560127,2.7303521870999115,8.231225866480912,4146982.1642914,937.1711105743277,2498.321104449471,30.0311018,7710.56717,56,4425
2023,27,Minnesota,8438,8607,169,8.665955597692976,6.075030439049214,2.4647576836373215,8.507933280097115,2611169.7647444,309.45363412472153,4382.82121712676,10.2821285,3716.55226,21,8438
2023,28,Mississippi,2094,2125,31,8.482489652976758,7.740407597659043,2.782158801660869,8.426573063527547,1175615.3548258,561.4208953322827,1178.4635718938155,59.5238365,8444.3053,35,2094
2023,29,Missouri,3520,3597,77,8.420738636363636,8.14977824229511,2.8547816452918267,8.311000941840728,2730530.3718482,775.7188556386932,1914.932878325672,28.4400549,7323.46151,46,3520
2023,30,Montana,3502,3540,38,8.51304016752332,7.2401212161668855,2.6907473341372814,8.204242537683596,517765.19783295,147.84842885007137,2236.971121704746,3.32365458,1048.71009,25,3502
2023,31,Nebraska,7263,7310,47,8.80568176602873,5.941771379933252,2.4375748972971585,8.645797856280439,950469.71467141,130.86461719281428,4029.178503499776,5.02021599,1134.03121,82,7263
2023,32,Nevada,1247,1258,11,8.272654370489175,8.43087210427721,2.90359640864174,8.048935267534729,1396404.0248376,1119.8107657077787,537.9892338503778,31.3069944,10197.0047,13,1247
2023,33,New Hampshire,2764,2793,29,8.746985045827303,6.278964619650949,2.5057862278436582,8.473853285070486,676407.69657233,244.720584866979,1477.8572505637885,4.31041548,1787.99927,45,2764
2023,34,New Jersey,4803,4869,66,8.70657228121313,6.263033817172308,2.502605405806578,8.623177674084294,4030871.6652066,839.240404998251,2452.876966762743,42.4775353,9160.27543,5,4803
2023,35,New Mexico,1377,1386,9,8.642459452916968,6.680605005718961,2.584686635884312,8.494031632198503,864111.8645849,627.5322182896878,608.0602661830918,5.21245269,6561.05509,24,1377
