scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,ordinary_count_mean,validation_count_mean,mean_estimate,reference,state
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,54.14,0.0,8.526308777861193,8.271645021645021,32
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,30.9,0.0,8.575584755729276,8.757779437391088,33
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,33.52,0.0,8.56763681853129,8.648255191607793,34
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,42.88,0.0,8.532898248397448,8.344547053649956,35
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,37.92,0.0,8.557730704242626,8.55199342375668,36
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,41.64,0.0,8.552699771544146,8.525340283811179,37
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,27.56,0.0,8.583646408570566,8.852889474840696,38
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,41.26,0.0,8.554107312956127,8.497960372960375,39
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,44.04,0.0,8.547912170328516,8.43805003460892,40
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,52.76,0.0,8.514499040938244,8.179193899782135,41
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,32.68,0.0,8.572693158320421,8.715135738192634,44
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,34.66,0.0,8.56859512933244,8.683043063859284,45
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,31.06,0.0,8.577265071191748,8.805004409171076,46
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,41.36,0.0,8.553548634922226,8.50069498069498,48
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,45.28,0.0,8.546440394154056,8.465273829827554,49
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,36.48,0.0,8.55929571943164,8.580938833570412,50
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,37.76,0.0,8.561211086614458,8.594168096054887,51
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,42.8,0.0,8.5444004000509,8.444160681032189,53
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,60.28,0.0,8.528391564606425,8.267142457318778,54
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,41.78,0.0,8.553140655917558,8.5075743170438,55
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,34.28,0.0,8.566652740467886,8.636943744752307,56
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,43.98,0.0,8.537961721879475,8.35949741315595,01
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,37.5,0.0,8.565430217727252,8.635873229939312,02
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,42.88,0.0,8.555397826379297,8.519881085098477,04
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,43.48,0.0,8.532885796288465,8.29320987654321,05
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,43.2,0.0,8.547686092078507,8.431945521937767,06
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,43.6,0.0,8.553140626501275,8.508233957978423,08
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,40.74,0.0,8.557813466238175,8.553915436577434,09
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,35.26,0.0,8.56982322591766,8.68655574679671,10
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,35.02,0.0,8.57678895862818,8.715625586193958,11
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,39.14,0.0,8.557828405040233,8.560529336304098,12
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,43.6,0.0,8.546724498606535,8.443810730882975,13
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,40.64,0.0,8.565960450194162,8.658482845451683,15
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,40.8,0.0,8.554615365889955,8.519994162288384,16
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,34.66,0.0,8.568272899588118,8.66492682427592,17
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,42.12,0.0,8.55160989151341,8.485706993363962,18
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,40.16,0.0,8.559074463070589,8.577984966753396,19
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,40.74,0.0,8.554596555435793,8.534743722050223,20
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,43.9,0.0,8.535769910482195,8.30594265577447,22
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,39.32,0.0,8.560150066156245,8.594057633792733,23
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,39.58,0.0,8.565929657252672,8.630635650276268,24
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,37.14,0.0,8.567767442233693,8.637808611816821,25
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,41.16,0.0,8.555602309204827,8.529325204961111,26
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,39.24,0.0,8.566607819410438,8.632127728901924,27
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,33.4,0.0,8.568458508824982,8.698599093531108,28
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,43.52,0.0,8.541972084864708,8.384601691143747,29
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,39.04,0.0,8.561222794346333,8.572748028227481,30
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,32.54,0.0,8.580694398744486,8.814423125346226,31
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,46.42,0.0,8.529396299245896,8.271645021645021,32
